ticket_price_id,tour_date_id,price_tier,average_price
1,39,floor,475.0
2,40,floor,475.0
3,41,floor,475.0
4,42,floor,475.0
5,43,floor,475.0
6,44,floor,475.0
7,45,floor,475.0
8,46,floor,475.0
9,47,floor,475.0
10,48,floor,475.0
11,49,floor,475.0
12,50,floor,475.0
13,51,floor,475.0
14,39,lower_bowl,300.0
15,40,lower_bowl,300.0
16,41,lower_bowl,300.0
17,42,lower_bowl,300.0
18,43,lower_bowl,300.0
19,44,lower_bowl,300.0
20,45,lower_bowl,300.0
21,46,lower_bowl,300.0
22,47,lower_bowl,300.0
23,48,lower_bowl,300.0
24,49,lower_bowl,300.0
25,50,lower_bowl,300.0
26,51,lower_bowl,300.0
27,39,upper_bowl,125.0
28,40,upper_bowl,125.0
29,41,upper_bowl,125.0
30,42,upper_bowl,125.0
31,43,upper_bowl,125.0
32,44,upper_bowl,125.0
33,45,upper_bowl,125.0
34,46,upper_bowl,125.0
35,47,upper_bowl,125.0
36,48,upper_bowl,125.0
37,49,upper_bowl,125.0
38,50,upper_bowl,125.0
39,51,upper_bowl,125.0
40,39,vip_booth,750.0
41,40,vip_booth,750.0
42,41,vip_booth,750.0
43,42,vip_booth,750.0
44,43,vip_booth,750.0
45,44,vip_booth,750.0
46,45,vip_booth,750.0
47,46,vip_booth,750.0
48,47,vip_booth,750.0
49,48,vip_booth,750.0
50,49,vip_booth,750.0
51,50,vip_booth,750.0
52,51,vip_booth,750.0
53,52,floor,600.0
54,53,floor,600.0
55,54,floor,600.0
56,55,floor,600.0
57,56,floor,600.0
58,57,floor,600.0
59,58,floor,600.0
60,59,floor,600.0
61,60,floor,600.0
62,61,floor,600.0
63,62,floor,600.0
64,63,floor,600.0
65,64,floor,600.0
66,52,lower_bowl,350.0
67,53,lower_bowl,350.0
68,54,lower_bowl,350.0
69,55,lower_bowl,350.0
70,56,lower_bowl,350.0
71,57,lower_bowl,350.0
72,58,lower_bowl,350.0
73,59,lower_bowl,350.0
74,60,lower_bowl,350.0
75,61,lower_bowl,350.0
76,62,lower_bowl,350.0
77,63,lower_bowl,350.0
78,64,lower_bowl,350.0
79,52,upper_bowl,190.0
80,53,upper_bowl,190.0
81,54,upper_bowl,190.0
82,55,upper_bowl,190.0
83,56,upper_bowl,190.0
84,57,upper_bowl,190.0
85,58,upper_bowl,190.0
86,59,upper_bowl,190.0
87,60,upper_bowl,190.0
88,61,upper_bowl,190.0
89,62,upper_bowl,190.0
90,63,upper_bowl,190.0
91,64,upper_bowl,190.0
92,52,vip_booth,750.0
93,53,vip_booth,750.0
94,54,vip_booth,750.0
95,55,vip_booth,750.0
96,56,vip_booth,750.0
97,57,vip_booth,750.0
98,58,vip_booth,750.0
99,59,vip_booth,750.0
100,60,vip_booth,750.0
101,61,vip_booth,750.0
102,62,vip_booth,750.0
103,63,vip_booth,750.0
104,64,vip_booth,750.0
